Temp,Humd,Label
22.0,26.0,1
22.0,29.0,1
98.0,200.0,0
23.0,32.0,1
22.0,27.0,1
-39.0,-23.0,0
23.0,31.0,1
-14.0,-53.0,0
45.0,-29.0,0
22.0,26.0,1
22.0,28.0,1
22.0,24.0,1
21.0,20.0,1
23.0,43.0,1
-40.0,-65.0,0
23.0,41.0,1
23.0,30.0,1
23.0,37.0,1
23.0,36.0,1
40.0,-10.0,0
25.0,89.0,1
23.0,33.0,1
59.0,-93.0,0
23.0,55.0,1
22.0,26.0,1
23.0,39.0,1
22.0,24.0,1
-19.0,-86.0,0
23.0,37.0,1
24.0,85.0,1
23.0,29.0,1
23.0,26.0,1
22.0,28.0,1
-47.0,209.0,0
13.0,-61.0,0
-15.0,-63.0,0
23.0,37.0,1
23.0,27.0,1
23.0,45.0,1
23.0,37.0,1
-9.0,-57.0,0
23.0,37.0,1
22.0,24.0,1
22.0,25.0,1
22.0,29.0,1
23.0,29.0,1
58.0,-97.0,0
-40.0,373.0,0
6.0,413.0,0
23.0,28.0,1
22.0,24.0,1
10.0,-70.0,0
23.0,30.0,1
-44.0,334.0,0
24.0,89.0,1
15.0,266.0,0
22.0,23.0,1
22.0,26.0,1
24.0,81.0,1
22.0,25.0,1
26.0,93.0,1
22.0,26.0,1
22.0,24.0,1
-30.0,302.0,0
22.0,26.0,1
23.0,35.0,1
22.0,20.0,1
25.0,85.0,1
23.0,26.0,1
23.0,34.0,1
27.0,93.0,1
22.0,25.0,1
22.0,26.0,1
24.0,54.0,1
10.0,425.0,0
-35.0,241.0,0
2.0,-13.0,0
9.0,483.0,0
28.0,92.0,1
-7.0,296.0,0
24.0,89.0,1
23.0,73.0,1
22.0,24.0,1
-24.0,-77.0,0
-30.0,310.0,0
24.0,56.0,1
-1.0,-37.0,0
-15.0,-81.0,0
23.0,33.0,1
22.0,24.0,1
22.0,26.0,1
23.0,47.0,1
23.0,30.0,1
25.0,86.0,1
24.0,91.0,1
23.0,31.0,1
-46.0,-93.0,0
22.0,28.0,1
23.0,29.0,1
24.0,71.0,1
23.0,51.0,1
8.0,-74.0,0
-16.0,331.0,0
25.0,92.0,1
22.0,26.0,1
-37.0,428.0,0
24.0,83.0,1
22.0,26.0,1
22.0,26.0,1
22.0,24.0,1
22.0,27.0,1
61.0,287.0,0
25.0,86.0,1
68.0,298.0,0
22.0,24.0,1
23.0,30.0,1
-5.0,-31.0,0
